ts_code,start_date,hy_code
000578,2009/6/1,220306
000581,1998/9/24,260104
000581,2011/10/10,310201
000581,2014/1/1,280201
000581,2021/7/30,280203
000582,1995/11/2,420101
000582,2021/7/30,421102
000583,1995/11/1,470301
000584,1995/11/28,510101
000584,2007/7/2,220404
000584,2008/6/2,220405
000584,2018/7/13,640209
000584,2021/7/30,640701
000585,1995/12/13,260404
000585,2014/1/1,630401
000585,2021/7/30,630801
000586,1995/12/20,450201
000586,2004/7/1,320101
000586,2007/7/2,320103
000586,2014/1/1,730202
000586,2021/7/30,730205
000587,1996/4/25,360301
000587,2007/7/2,360302
000587,2012/1/8,360304
000587,2021/7/30,350301
000588,1996/1/23,110202
000589,1996/3/8,220601
000589,2021/7/30,280204
000590,1996/1/19,370201
000591,1996/2/8,370401
000591,2017/5/26,630303
000591,2019/7/24,410105
000591,2021/7/30,410106
000592,1996/3/27,430101
000592,2009/10/9,360302
000592,2014/1/1,110301
000593,1996/3/12,450101
000593,2007/7/2,510101
000593,2015/7/1,410301
000593,2015/10/26,510101
000593,2018/6/19,410301
000594,1996/3/20,210301
000594,2007/1/2,420701
000595,1996/4/19,260102
000595,2014/1/1,640102
000595,2021/7/30,640108
000596,1996/9/27,340301
000596,2021/7/30,340501
000597,1996/5/23,370101
000597,2019/7/24,370102
000598,1996/5/29,220304
000598,2009/1/1,410201
000598,2021/7/30,760102
000599,1996/4/10,350201
000599,2003/5/1,220601
000599,2021/7/30,280204
000600,1996/6/6,460201
000600,2006/9/7,410101
000601,1996/8/30,410101
000601,2017/5/26,410102
000602,1996/8/6,460301
000602,2002/9/1,320201
000602,2007/7/2,240102
000602,2013/7/1,410101
000603,1996/8/23,370501
000603,2012/7/2,240104
000603,2014/1/1,240303
000605,1996/8/1,260202
000605,2001/9/1,370301
000605,2015/7/1,410201
000605,2021/7/30,760102
000606,1996/10/4,220304
000606,2011/1/10,370201
000606,2017/6/29,710202
000606,2021/7/30,710301
000607,1996/8/30,260301
000607,2007/7/2,370201
000607,2011/10/10,260301
000607,2014/1/1,640301
000607,2018/6/19,720201
000607,2021/7/30,720502
000608,1996/9/19,430101
000608,2021/7/30,430102
000609,1996/10/10,220101
000609,2007/7/2,430101
000610,1996/9/26,460301
000610,2017/6/29,460201
000610,2021/7/30,460901
000611,1996/10/8,450101
000611,2006/9/1,260402
000611,2012/10/8,350106
000611,2014/1/1,450201
000611,2018/6/19,350106
000611,2021/7/30,740101
000612,1996/9/26,240101
000612,2007/6/30,240102
000612,2014/1/1,240301
000613,1997/1/28,460102
000613,2011/1/10,460201
000613,2021/7/30,460901
000615,1996/10/16,220403
000615,2017/5/26,430101
000615,2021/7/30,770302
000616,1996/10/22,460201
000616,2003/5/1,430101
000616,2022/7/29,490307
000617,1996/10/22,260104
000617,2007/7/2,260205
000617,2011/10/10,260104
000617,2014/1/1,640104
000617,2018/7/13,490301
000617,2021/7/30,490302
000618,1996/10/15,220101
000619,1996/9/19,360101
000619,2000/9/1,250104
000619,2014/1/1,610303
000620,1996/10/29,220101
000620,2007/7/2,240106
000620,2011/10/10,510101
000620,2012/1/8,430101
000621,1996/11/5,470201
000622,1996/11/7,310201
000622,2007/7/2,510101
000622,2013/7/1,310201
000622,2014/1/1,280201
000622,2021/7/30,510101
000623,1996/10/28,370201
000623,2007/7/2,440301
000623,2014/1/1,490101
000623,2014/7/1,370201
000623,2019/7/24,370102
000623,2022/7/29,370201
000625,1997/6/10,310101
000625,2014/1/1,280101
000625,2021/7/30,280502
000626,1996/11/28,110501
000626,2011/10/10,450201
000626,2021/7/30,420802
000627,1996/11/12,370102
000627,2011/1/10,220309
000627,2017/6/29,490201
000628,1996/11/18,430101
000628,2013/1/1,510101
000628,2018/7/13,620101
000629,1996/11/15,230101
000629,2012/1/8,210301
000629,2021/7/30,230302
000630,1996/11/20,240101
000630,2007/6/30,240103
000630,2014/1/1,240302
000631,1996/11/22,310201
000631,2010/1/1,430101
000632,1996/11/21,430101
000632,2007/7/2,510101
000633,1996/11/12,260101
000633,2007/7/2,260207
000633,2014/1/1,640209
000633,2015/7/1,240302
000633,2018/6/19,240201
000635,1996/10/25,220101
000635,2003/5/1,410101
000635,2007/7/2,220202
000636,1996/11/29,270201
000636,2011/10/10,270203
000637,1996/11/14,220101
000637,2021/7/30,750303
000638,1996/11/22,250201
000638,2007/7/2,430101
000638,2017/6/29,510101
000638,2021/7/30,710301
000639,1984/5/9,460401
000639,2002/9/1,250104
000639,2011/1/10,110502
000639,2019/7/24,340404
000639,2021/7/30,110502
000650,1996/11/18,220403
000650,2007/7/2,370201
000651,1996/11/18,330102
000652,1996/11/28,220401
000652,2006/9/1,510101
000653,1996/11/26,450201
000655,1996/11/28,250103
000655,2007/7/2,210301
000655,2021/7/30,230301
000656,1996/11/28,230102
000656,2007/7/2,430101
000657,1996/12/5,240101
000657,2007/6/30,240106
000657,2014/1/1,240502
000658,1996/12/18,510101
000659,1996/12/3,360201
000659,2021/7/30,360204
000660,1996/12/9,260105
000660,2005/7/1,260404
000661,1996/12/18,370301
000661,2021/7/30,370304
000662,1996/12/2,510101
000662,2002/5/1,220304
000662,2017/6/29,710202
000662,2021/7/30,710401
000663,1996/12/6,110301
000663,2016/7/1,360302
000663,2021/7/30,360308
000663,2022/7/29,110301
000665,1996/12/10,220501
000665,2010/6/1,470204
000665,2014/1/1,720103
000665,2021/7/30,721001
000666,1996/12/10,260201
000666,2013/7/1,440201
000666,2014/1/1,490301
000666,2021/7/30,490304
000667,1989/11/1,450101
000667,2003/5/1,430101
000668,1996/12/10,220103
000668,2007/7/2,430101
000668,2009/6/1,220103
000668,2011/1/10,430101
000668,2022/7/29,370402
000669,1996/12/10,270401
000669,2007/7/2,370501
000669,2012/7/2,510101
000669,2013/1/1,410301
000670,1996/12/17,220103
000670,2010/1/1,430101
000670,2015/7/1,270103
000670,2017/6/29,270101
000670,2021/7/30,270104
000670,2022/7/29,270401
000671,1996/12/18,510101
000671,2007/7/2,430101
000672,1996/12/18,110502
000672,2013/7/1,250102
000672,2014/1/1,610101
000673,1997/1/24,250102
000673,2012/7/2,470403
000673,2014/1/1,720201
000673,2018/6/20,720102
000673,2021/7/30,720601
000675,1996/12/26,220302
000676,1996/12/24,260301
000676,2014/1/1,640301
000676,2017/6/29,720302
000676,2021/7/30,720501
000677,1996/12/26,220403
000677,2017/6/29,220401
000677,2021/7/30,220403
000678,1997/1/6,310201
000678,2014/1/1,280201
000678,2021/7/30,280203
000679,1997/1/24,450101
000679,2010/6/1,450103
000679,2014/1/1,450501
000679,2015/7/1,450303
000679,2017/11/9,430101
